Name;Turn;Text;Color
1Ir198:-1e;-1;198Ir_2.84e+01_1;0x1f77b4
1Ir199:-1e;-1;199Ir_1.92e+00_1;0xff7f0e
1Os197:-1e;-1;197Os_1.35e+01_1;0xff7f0e
1Re197:-1e;-1;197Re_2.32e+00_1;0xff7f0e
1Os198:-1e;-1;198Os_1.73e+01_1;0xff7f0e
1Os194:-1e;-1;194Os_2.48e+00_1;0xff7f0e
1Os193:-1e;-1;193Os_2.19e+01_1;0xff7f0e
1Re192:-1e;-1;192Re_2.06e+01_1;0xff7f0e
